data_reg,cod_modello,nr_seriale,data_intervento,data_inst,cod_componente,mod_cod,mod_desc,flg_sost,flg_rip,flg_reg,flg_pul
12/06/2024,DCV8,18035355,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,NMMF,22112289,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZCKV,43801310,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZMSB,31800681,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZMSB,44901075,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZMEU,93600950,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZCBL,91300682,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,DCV8,17059772,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,FMSD,200738092,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,MMED,3363,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZCBL,85000392,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,GFPV,220415,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZCBL,81700661,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
12/06/2024,ZMEU,82203250,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,DCC2,13060544,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,1910759,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,64602121,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,DCC2,13071186,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,75000788,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,74401750,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,BC5T,19837234,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,94600536,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,85000516,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,85002150,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,61211470,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,81800433,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,83003247,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,FMFA,200548174,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,90302536,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,DCV8,15034443,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,74600706,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,74302887,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,BMMA,9415619,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,91600349,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,93001546,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZCBL,74700717,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
13/06/2024,ZMEU,74102641,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
